"Format","AiM CSV File"
"Session","A.Senna Kart"
"Vehicle","22"
"Racer","Lucas Abreu"
"Championship","Brasilia Kart Series"
"Comment",""
"Date","Sunday, May 31, 2026"
"Time","1:23 PM"
"Sample Rate","20"
"Duration","1052.99"
"Segment","Session"
"Beacon Markers","49.316","96.861","143.916","190.844","237.69","284.479","331.223","378.128","424.983","471.711","518.383","566.507","613.522","660.605","707.328","754.405","800.997","847.675","894.309","940.696","987.785","1052.99"
"Segment Times","0:49.316","0:47.545","0:47.055","0:46.928","0:46.846","0:46.789","0:46.744","0:46.905","0:46.855","0:46.728","0:46.672","0:48.124","0:47.015","0:47.083","0:46.723","0:47.077","0:46.592","0:46.678","0:46.634","0:46.387","0:47.089","1:05.204"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","WheelSpeed","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","km/h","m"

"0.000","4.6840","13","0.0000","0.0000","-1.8682","154.7480","0.0000","1080.8113","800.0000","0.3960","10000.0000","-15.82629389","-47.97096119","29.1250","3.8600","0.0000","0.0000","0.0000"
"0.050","4.8223","13","-0.0846","0.1023","-2.0226","153.2830","-36.6257","1080.7964","800.0000","0.3960","2.0955","-15.82629397","-47.97096101","29.1250","3.8600","0.0000","0.0000","0.0674"
"0.100","5.4709","13","-0.1922","0.3703","-2.2131","148.5334","-82.1153","1080.7534","800.0000","0.3960","1.0604","-15.82629455","-47.97096030","29.1250","3.8600","0.0000","0.0000","0.1392"
"0.150","6.0572","13","0.0895","0.3345","-1.4097","149.6114","31.3825","1080.7854","800.0000","0.3960","3.0719","-15.82629536","-47.97095985","29.1250","3.8600","0.0000","0.0000","0.2191"
"0.200","6.6414","13","-0.0529","0.3308","-0.8526","149.3955","-17.3341","1080.8190","800.0000","0.3960","6.0979","-15.82629612","-47.97095930","29.1250","3.8600","0.0000","0.0000","0.3068"
"0.250","6.5625","13","0.2016","-0.0195","0.0724","152.4112","62.0007","1080.9163","790.0000","0.3600","1.6846","-15.82629695","-47.97095922","29.1257","3.8600","0.0000","0.0000","0.3981"
"0.300","6.9899","13","0.1076","0.2381","-0.3240","154.6542","34.2483","1080.8619","790.0000","0.3600","3.2483","-15.82629775","-47.97095854","29.1280","3.8600","0.0000","0.0000","0.4924"
"0.350","7.6919","13","-0.1778","0.4531","-0.6092","152.4386","-50.6880","1080.7969","790.0000","0.3870","2.4152","-15.82629857","-47.97095778","29.1304","3.8597","0.0000","0.0000","0.5938"
"0.400","7.9707","13","-0.2524","0.0693","-0.9584","149.2335","-64.8001","1080.7488","790.0000","0.3600","1.9577","-15.82629949","-47.97095687","29.1327","3.8587","0.0000","0.0000","0.7027"
"0.450","8.2188","13","0.2680","0.1316","-1.2580","152.7046","67.6706","1080.6919","790.0000","0.3870","1.9330","-15.82630037","-47.97095628","29.1351","3.8577","0.0000","0.0000","0.8155"
"0.500","8.1891","13","0.1528","0.0085","-1.1132","154.6290","37.7642","1080.7053","790.0000","0.3600","3.4512","-15.82630134","-47.97095586","29.1374","3.8567","0.0000","0.0000","0.9292"
"0.550","8.5978","13","-0.0928","0.2613","-0.5245","154.0705","-22.4982","1080.7661","782.5000","0.3870","6.0822","-15.82630241","-47.97095552","29.1398","3.8560","0.0000","0.0000","1.0455"
"0.600","8.8218","13","-0.0646","0.2791","-0.5293","154.9736","-15.0020","1080.7505","780.0000","0.3600","9.3590","-15.82630343","-47.97095488","29.1421","3.8560","0.0000","0.0000","1.1664"
"0.650","9.5301","13","-0.0227","0.1907","-0.1197","155.0865","-5.0444","1080.7629","780.0000","0.3600","30.0680","-15.82630460","-47.97095421","29.1445","3.8560","0.0000","0.0000","1.2943"
"0.700","10.0531","13","-0.0034","0.1960","-0.1277","152.6733","-0.7325","1080.7601","780.0000","0.3600","218.4394","-15.82630576","-47.97095349","29.1468","3.8560","0.0000","0.0000","1.4312"
"0.750","10.2941","14","0.0266","0.1790","-0.1733","148.8396","5.4255","1080.7576","780.0000","0.3870","30.1974","-15.82630677","-47.97095261","29.1491","3.8560","0.0000","0.0000","1.5720"
"0.800","10.5241","14","0.0156","0.2240","-0.1771","151.5325","3.1082","1080.7593","780.0000","0.3960","53.8882","-15.82630801","-47.97095190","29.1515","3.8560","0.0000","0.0000","1.7165"
"0.850","10.8516","13","-0.0110","0.2179","0.0175","153.3623","-2.1018","1080.7695","780.0000","0.3600","82.1701","-15.82630921","-47.97095134","29.1538","3.8563","0.0000","0.0000","1.8654"
"0.900","10.8701","13","0.0126","0.1924","0.0976","153.8982","2.2670","1080.7704","780.0000","0.3600","76.3131","-15.82631047","-47.97095068","29.1562","3.8573","0.0000","0.0000","2.0163"
"0.950","11.2897","13","0.0835","0.1503","0.3261","156.7798","14.9398","1080.8043","772.5000","0.3870","12.0270","-15.82631187","-47.97095025","29.1585","3.8580","0.0000","0.0000","2.1696"
"1.000","11.9737","13","0.0829","0.1207","0.5468","154.6355","14.5365","1080.8558","770.0000","0.4680","13.1096","-15.82631340","-47.97094956","29.1609","3.8580","0.0000","0.0000","2.3306"
"1.050","12.2771","13","0.0664","0.1414","0.8348","154.1153","11.4416","1080.8887","770.0000","0.4590","17.0777","-15.82631475","-47.97094888","29.1632","3.8580","0.0000","0.0000","2.4993"
"1.100","12.3172","13","0.0473","0.1584","0.9420","154.8659","7.9703","1080.8954","770.0000","0.4320","24.5956","-15.82631621","-47.97094816","29.1655","3.8580","0.0000","0.0000","2.6703"
"1.150","12.6263","13","0.0279","0.1857","0.7925","154.6566","4.6061","1080.8669","770.0000","0.4320","43.6280","-15.82631762","-47.97094735","29.1679","3.8580","0.0000","0.0000","2.8430"
"1.200","12.5700","14","-0.0221","0.2019","0.7069","155.5682","-3.5434","1080.8582","770.0000","0.4320","56.4588","-15.82631894","-47.97094666","29.1702","3.8580","0.0000","0.0000","3.0183"
"1.250","12.8029","14","-0.0452","0.1721","0.5475","157.7346","-7.0528","1080.8274","770.0000","0.4410","28.8914","-15.82632047","-47.97094606","29.1721","3.8580","0.0000","0.0000","3.1944"
"1.300","13.5236","13","-0.0155","0.1834","0.4998","155.9970","-2.4322","1080.8278","770.0000","0.4680","88.4949","-15.82632211","-47.97094517","29.1729","3.8580","0.0000","0.0000","3.3777"
