"Format","AiM CSV File"
"Session","A.Senna Kart"
"Vehicle","22"
"Racer","Lucas Abreu"
"Championship","Brasilia Kart Series"
"Comment",""
"Date","Sunday, May 31, 2026"
"Time","10:14 AM"
"Sample Rate","20"
"Duration","1034.99"
"Segment","Session"
"Beacon Markers","48.43","94.862","141.094","187.332","233.552","280.057","326.369","373.257","419.651","466.349","512.588","562.384","608.484","654.569","700.781","746.916","793.074","839.267","885.395","931.433","977.688","1034.99"
"Segment Times","0:48.430","0:46.432","0:46.232","0:46.238","0:46.220","0:46.505","0:46.312","0:46.888","0:46.394","0:46.698","0:46.239","0:49.796","0:46.100","0:46.085","0:46.212","0:46.135","0:46.158","0:46.193","0:46.128","0:46.038","0:46.255","0:57.302"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","WheelSpeed","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","km/h","m"

"0.000","6.2131","14","0.0000","0.0000","-1.5203","154.8495","0.0000","1078.3483","680.0000","0.3960","10000.0000","-15.82628395","-47.97102193","28.0156","3.9100","0.0000","0.0000","0.0000"
"0.050","6.3174","14","-0.0132","0.0739","-1.5443","154.6776","-4.2978","1078.3440","680.0000","0.3960","23.3944","-15.82628412","-47.97102182","28.0156","3.9100","0.0000","0.0000","0.0871"
"0.100","6.5346","15","-0.1134","0.0818","-1.9093","153.0993","-35.1595","1078.3177","680.0000","0.3960","2.9580","-15.82628497","-47.97102130","28.0156","3.9100","0.0000","0.0000","0.1769"
"0.150","6.6671","14","-0.1823","0.1315","-1.8429","150.2911","-56.9228","1078.3085","680.0000","0.4230","1.8641","-15.82628583","-47.97102072","28.0156","3.9091","0.0000","0.0000","0.2682"
"0.200","6.7112","15","-0.1868","-0.0189","-1.3179","147.4663","-56.0727","1078.3268","680.0000","0.4320","1.9049","-15.82628663","-47.97102020","28.0156","3.9081","0.0000","0.0000","0.3612"
"0.250","7.8978","14","0.0636","0.6504","-0.8927","148.2240","17.2354","1078.3334","680.0000","0.4320","7.2930","-15.82628767","-47.97101951","28.0156","3.9089","0.0000","0.0000","0.4640"
"0.300","8.3845","14","0.2783","0.2752","-0.7789","151.4996","69.7768","1078.3372","680.0000","0.4320","1.9124","-15.82628872","-47.97101893","28.0156","3.9099","0.0000","0.0000","0.5773"
"0.350","8.6038","15","-0.0522","0.1038","-1.1940","151.9512","-11.4848","1078.3110","680.0000","0.4320","11.9231","-15.82628970","-47.97101831","28.0129","3.9109","0.0000","0.0000","0.6954"
"0.400","8.5327","14","-0.0174","-0.0641","-0.9327","151.3313","-4.0792","1078.3156","670.0000","0.4680","33.2917","-15.82629070","-47.97101781","28.0098","3.9119","0.0000","0.0000","0.8146"
"0.450","9.2747","15","0.2221","0.4331","-0.9203","154.2133","52.9618","1078.3076","670.0000","0.4320","2.7871","-15.82629192","-47.97101716","28.0066","3.9120","0.0000","0.0000","0.9388"
"0.500","10.0289","16","-0.2231","0.4094","-1.0164","152.1772","-46.5961","1078.2882","670.0000","0.4320","3.4255","-15.82629326","-47.97101638","28.0035","3.9120","0.0000","0.0000","1.0733"
"0.550","10.3684","15","0.1111","0.1746","-0.5352","152.2659","21.2089","1078.3296","670.0000","0.4860","7.7806","-15.82629458","-47.97101572","28.0004","3.9120","0.0000","0.0000","1.2151"
"0.600","10.3618","15","0.0883","0.0446","-0.2613","154.7024","17.1524","1078.3519","670.0000","0.5400","9.6146","-15.82629587","-47.97101516","27.9972","3.9120","0.0000","0.0000","1.3591"
"0.650","10.2617","15","-0.0225","0.1605","-0.1771","153.1885","-4.3211","1078.3525","670.0000","0.5580","37.7957","-15.82629718","-47.97101452","27.9941","3.9120","0.0000","0.0000","1.5021"
"0.700","10.6982","15","-0.0126","0.1585","0.0113","151.8209","-2.3845","1078.3589","670.0000","0.4860","71.4058","-15.82629857","-47.97101378","27.9910","3.9120","0.0000","0.0000","1.6474"
"0.750","11.3918","15","0.0230","0.1923","0.1544","152.6873","4.1800","1078.3774","670.0000","0.4950","43.3746","-15.82630000","-47.97101303","27.9879","3.9120","0.0000","0.0000","1.8007"
"0.800","12.0713","15","0.0554","0.1628","0.5986","156.5961","9.8017","1078.4209","670.0000","0.5400","19.6006","-15.82630161","-47.97101251","27.9848","3.9120","0.0000","0.0000","1.9631"
"0.850","12.4935","15","0.0593","0.1223","0.9087","153.3006","10.2617","1078.4618","670.0000","0.5760","19.3771","-15.82630300","-47.97101166","27.9816","3.9120","0.0000","0.0000","2.1342"
"0.900","12.1555","15","0.0349","0.1011","0.9478","154.0435","5.9201","1078.4563","665.0000","0.6300","32.6789","-15.82630443","-47.97101094","27.9785","3.9120","0.0000","0.0000","2.3060"
"0.950","11.9411","15","0.0441","0.1435","1.2304","154.9557","7.3649","1078.4865","660.0000","0.6570","25.8046","-15.82630590","-47.97101041","27.9754","3.9120","0.0000","0.0000","2.4725"
"1.000","12.2165","15","0.0377","0.1879","1.5808","154.8611","6.1749","1078.5199","660.0000","0.6840","31.4876","-15.82630736","-47.97100983","27.9722","3.9120","0.0000","0.0000","2.6401"
"1.050","12.8150","15","-0.0023","0.1821","1.8200","155.9922","-0.3775","1078.5581","660.0000","0.7380","540.2592","-15.82630907","-47.97100908","27.9691","3.9129","0.0000","0.0000","2.8142"
"1.100","13.3841","15","0.0108","0.1562","1.7095","157.0041","1.6966","1078.5605","660.0000","0.7560","125.5562","-15.82631092","-47.97100838","27.9660","3.9139","0.0000","0.0000","2.9969"
"1.150","13.2753","15","-0.0195","0.1359","1.7319","154.0916","-2.9638","1078.5640","660.0000","0.7200","71.2887","-15.82631249","-47.97100748","27.9629","3.9140","0.0000","0.0000","3.1822"
"1.200","13.7066","15","-0.0243","0.1810","1.6639","154.3198","-3.6422","1078.5682","660.0000","0.6840","59.8936","-15.82631419","-47.97100661","27.9597","3.9140","0.0000","0.0000","3.3689"
"1.250","14.4036","14","0.0127","0.2080","1.6348","154.7059","1.8393","1078.5719","660.0000","0.6660","124.6327","-15.82631606","-47.97100569","27.9566","3.9140","0.0000","0.0000","3.5647"
"1.300","14.8696","14","0.0385","0.1817","1.5221","155.3389","5.4765","1078.5619","655.0000","0.7200","43.2127","-15.82631796","-47.97100478","27.9535","3.9140","0.0000","0.0000","3.7684"
