"Format","AiM CSV File"
"Session","A.Senna Kart"
"Vehicle","22"
"Racer","Lucas Abreu"
"Championship","Brasilia Kart Series"
"Comment",""
"Date","Sunday, May 31, 2026"
"Time","10:05 AM"
"Sample Rate","20"
"Duration","154.997"
"Segment","Session"
"Beacon Markers","0.589","50.672","96.928","154.997"
"Segment Times","0:00.589","0:50.083","0:46.256","0:58.069"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Logger Temperature","Internal Batt","RPM","WheelSpeed","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","C","V","rpm","km/h","m"

"0.000","52.6525","9","0.0000","0.0000","-1.9494","154.0545","0.0000","1056.8773","2410.0001","0.6480","10000.0000","-15.82588768","-47.97135650","25.0156","3.9380","0.0000","0.0000","0.0000"
"0.050","52.6525","9","0.0000","0.0000","-1.9494","154.0545","0.0000","1056.8773","2410.0001","0.6480","10000.0000","-15.82588768","-47.97135650","25.0156","3.9380","0.0000","0.0000","0.7313"
"0.100","52.6525","9","0.0000","0.0000","-1.9494","154.0545","0.0000","1056.8773","2410.0001","0.6480","10000.0000","-15.82588768","-47.97135650","25.0156","3.9380","0.0000","0.0000","1.4626"
"0.150","52.6525","9","0.0000","0.0000","-1.9494","154.0545","0.0000","1056.8773","2410.0001","0.6480","10000.0000","-15.82588768","-47.97135650","25.0156","3.9380","0.0000","0.0000","2.1939"
"0.200","52.6525","9","0.0000","0.0000","-1.9494","154.0545","0.0000","1056.8773","2410.0001","0.6480","10000.0000","-15.82588768","-47.97135650","25.0156","3.9380","0.0000","0.0000","2.9251"
"0.250","52.7129","9","-0.2422","0.0445","-1.9581","153.6821","-9.3098","1056.8107","2392.0000","0.6480","90.1149","-15.82589014","-47.97135573","25.0156","3.9380","0.0000","0.0000","3.6568"
"0.300","52.7139","9","-0.6185","-0.0180","-1.9934","152.5259","-23.7329","1056.6165","2342.0000","0.6480","35.3504","-15.82589717","-47.97135348","25.0156","3.9380","0.0000","0.0000","4.3890"
"0.350","52.6080","9","-0.7479","-0.0490","-2.0888","151.1261","-28.7340","1056.4835","2301.5001","0.6480","29.1391","-15.82590286","-47.97135062","25.0156","3.9370","0.0000","0.0000","5.1203"
"0.400","52.3916","10","-0.6681","-0.1118","-2.1385","149.8486","-25.7397","1056.3660","2263.9999","0.6480","32.3950","-15.82590796","-47.97134716","25.0156","3.9360","0.0000","0.0000","5.8495"
"0.450","52.3822","10","-0.8234","-0.0126","-2.1572","148.2400","-31.8034","1056.2229","2226.5000","0.6480","26.2139","-15.82591302","-47.97134345","25.0156","3.9360","0.0000","0.0000","6.5773"
"0.500","52.2928","11","-0.7882","-0.0242","-2.2207","146.7250","-30.4874","1056.0896","2196.0001","0.6984","27.2987","-15.82591806","-47.97133979","25.0156","3.9360","0.0000","0.0000","7.3048"
"0.550","52.3562","11","-0.8176","0.0306","-2.2467","145.4195","-31.6228","1055.8662","2169.6429","0.7395","26.3504","-15.82592371","-47.97133609","25.0148","3.9360","0.0000","0.0000","8.0338"
"0.600","52.4362","11","-0.8437","0.0518","-2.2415","144.1894","-32.5914","1055.6215","2142.8571","0.7653","25.6064","-15.82592954","-47.97133238","25.0141","3.9360","0.0000","0.0000","8.7659"
"0.650","52.5163","11","-0.8699","0.0730","-2.2363","142.9593","-33.5601","1055.3767","2116.0715","0.7910","24.9052","-15.82593536","-47.97132868","25.0133","3.9370","0.0000","0.0000","9.5086"
"0.700","52.5963","11","-0.8960","0.0942","-2.2311","141.7293","-34.5288","1055.1320","2089.2856","0.8167","24.2435","-15.82594119","-47.97132497","25.0125","3.9380","0.0000","0.0000","10.2543"
"0.750","52.6764","11","-0.9221","0.1154","-2.2259","140.4992","-35.4974","1054.8872","2062.5000","0.8424","23.6178","-15.82594701","-47.97132126","25.0117","3.9380","0.0000","0.0000","10.9949"
"0.800","52.6821","11","-0.8320","0.1313","-2.2397","139.0208","-31.9937","1054.6787","2036.0000","0.8712","26.2071","-15.82595257","-47.97131736","25.0109","3.9380","0.0000","0.0000","11.7305"
"0.850","52.7491","11","-0.3046","0.1095","-2.3352","136.9463","-11.6671","1054.6559","2006.5000","0.8838","71.9566","-15.82595699","-47.97131239","25.0102","3.9380","0.0000","0.0000","12.4706"
"0.900","53.6385","11","-0.0606","0.0748","-2.3255","137.1089","-2.3175","1054.7048","1976.0000","0.8388","368.3680","-15.82596181","-47.97130749","25.0094","3.9380","0.0000","0.0000","13.2141"
"0.950","53.7475","11","0.1605","0.0610","-2.3109","138.2482","6.1090","1054.8308","1951.0000","0.7596","140.0250","-15.82596681","-47.97130257","25.0086","3.9380","0.0000","0.0000","13.9533"
"1.000","53.2533","11","0.3959","0.0290","-2.4499","139.1963","15.0379","1054.8917","1928.0000","0.7056","56.3611","-15.82597169","-47.97129804","25.0078","3.9380","0.0000","0.0000","14.6885"
"1.050","52.8850","11","0.6048","-0.0019","-2.4803","140.6643","22.9582","1054.9017","1911.0000","0.6642","36.6618","-15.82597685","-47.97129393","25.0070","3.9380","0.0000","0.0000","15.4267"
"1.100","53.3752","11","0.7983","-0.0203","-2.4704","142.2904","30.3170","1054.9093","1893.0000","0.6588","28.0203","-15.82598253","-47.97128974","25.0063","3.9380","0.0000","0.0000","16.1653"
"1.150","53.6825","11","0.9335","-0.0103","-2.4505","143.3318","35.4885","1054.9181","1880.5000","0.6138","24.0749","-15.82598826","-47.97128557","25.0055","3.9380","0.0000","0.0000","16.9040"
"1.200","53.1293","11","1.0048","-0.0137","-2.4749","145.5887","38.2290","1054.9214","1866.0001","0.6912","22.1188","-15.82599466","-47.97128164","25.0047","3.9380","0.0000","0.0000","17.6464"
"1.250","52.8752","11","1.0064","-0.0051","-2.5171","147.4317","38.3229","1054.9775","1841.0000","0.7200","21.9591","-15.82600119","-47.97127750","25.0039","3.9380","0.0000","0.0000","18.3938"
"1.300","53.2467","11","0.9718","0.0083","-2.4857","148.7127","37.0237","1055.0719","1823.0000","0.6948","22.8893","-15.82600717","-47.97127352","25.0031","3.9380","0.0000","0.0000","19.1428"
"1.350","53.0905","11","0.9217","0.0199","-2.4850","150.3513","35.1214","1055.2072","1810.5000","0.6840","24.0583","-15.82601296","-47.97126984","25.0023","3.9380","0.0000","0.0000","19.8953"
