Lap;Time Lap;Strip;Time Strip;Absolute Time;Time;Distance;RPM;Speed GPS;T1;T2;Gf. X;Gf. Y;Orientation;Speed rear;Lat.;Lon.;Altitude;UTC time : 103457.00
1;59.3;1;28.41;0;0;0;2438;33.3;0;0;0.14;0.11;349.64;0;-15.826809;-47.971446;1085;
;;;;0.01;0.01;0.09;2438;33.3;0;0;0.15;0.11;349.23;0;-15.8268082;-47.9714461;1085;
;;;;0.02;0.02;0.18;2439;33.2;0;0;0.16;0.12;348.81;0;-15.8268074;-47.9714462;1085;
;;;;0.03;0.03;0.28;2439;33.2;0;0;0.17;0.12;348.4;0;-15.8268066;-47.9714463;1085;
;;;;0.04;0.04;0.37;2440;33.1;0;0;0.18;0.12;347.98;0;-15.8268058;-47.9714464;1085;
;;;;0.05;0.05;0.46;2440;33.1;0;0;0.2;0.12;347.57;0;-15.826805;-47.9714465;1085;
;;;;0.060000000000000005;0.06;0.55;2440;33.1;0;0;0.21;0.13;347.16;0;-15.8268042;-47.9714466;1085;
;;;;0.07;0.07;0.65;2441;33;0;0;0.22;0.13;346.74;0;-15.8268034;-47.9714467;1085;
;;;;0.08;0.08;0.74;2441;33;0;0;0.23;0.13;346.33;0;-15.8268026;-47.9714468;1085;
;;;;0.09;0.09;0.83;2442;32.9;0;0;0.24;0.14;345.91;0;-15.8268018;-47.9714469;1085;
;;;;0.09999999999999999;0.1;0.92;2442;32.9;0;0;0.25;0.14;345.5;0;-15.826801;-47.971447;1085;
;;;;0.10999999999999999;0.11;1.01;2444;32.9;0;0;0.26;0.15;345.27;0;-15.8268001;-47.9714474;1085;
;;;;0.11999999999999998;0.12;1.1;2446;32.8;0;0;0.26;0.16;345.04;0;-15.8267992;-47.9714478;1085;
;;;;0.12999999999999998;0.13;1.19;2447;32.8;0;0;0.27;0.17;344.81;0;-15.8267983;-47.9714482;1085;
;;;;0.13999999999999999;0.14;1.28;2449;32.7;0;0;0.27;0.18;344.58;0;-15.8267974;-47.9714486;1085;
;;;;0.15;0.15;1.38;2451;32.7;0;0;0.28;0.19;344.35;0;-15.8267965;-47.971449;1084;
;;;;0.16;0.16;1.47;2453;32.7;0;0;0.29;0.2;344.12;0;-15.8267956;-47.9714494;1084;
;;;;0.17;0.17;1.56;2455;32.6;0;0;0.29;0.21;343.89;0;-15.8267947;-47.9714498;1084;
;;;;0.18000000000000002;0.18;1.65;2456;32.6;0;0;0.3;0.22;343.66;0;-15.8267938;-47.9714502;1084;
;;;;0.19000000000000003;0.19;1.74;2458;32.5;0;0;0.3;0.23;343.43;0;-15.8267929;-47.9714506;1084;
;;;;0.20000000000000004;0.2;1.83;2460;32.5;0;0;0.31;0.24;343.2;0;-15.826792;-47.971451;1084;
;;;;0.21000000000000005;0.21;1.92;2459;32.4;0;0;0.31;0.23;343.3;0;-15.8267912;-47.9714511;1084;
;;;;0.22000000000000006;0.22;2.01;2457;32.4;0;0;0.31;0.22;343.41;0;-15.8267904;-47.9714512;1084;
;;;;0.23000000000000007;0.23;2.1;2456;32.3;0;0;0.31;0.21;343.51;0;-15.8267896;-47.9714513;1084;
;;;;0.24000000000000007;0.24;2.19;2455;32.2;0;0;0.31;0.2;343.62;0;-15.8267888;-47.9714514;1084;
;;;;0.25000000000000006;0.25;2.28;2454;32.1;0;0;0.32;0.19;343.72;0;-15.826788;-47.9714515;1084;
;;;;0.26000000000000006;0.26;2.37;2452;32.1;0;0;0.32;0.18;343.82;0;-15.8267872;-47.9714516;1084;
;;;;0.2700000000000001;0.27;2.46;2451;32;0;0;0.32;0.17;343.93;0;-15.8267864;-47.9714517;1084;
;;;;0.2800000000000001;0.28;2.55;2450;31.9;0;0;0.32;0.16;344.03;0;-15.8267856;-47.9714518;1084;
;;;;0.2900000000000001;0.29;2.63;2448;31.9;0;0;0.32;0.15;344.14;0;-15.8267848;-47.9714519;1084;
;;;;0.3000000000000001;0.3;2.72;2447;31.8;0;0;0.32;0.14;344.24;0;-15.826784;-47.971452;1084;
;;;;0.3100000000000001;0.31;2.81;2454;31.7;0;0;0.31;0.14;344.5;0;-15.8267833;-47.9714522;1084;
