Lap;Time Lap;Strip;Time Strip;Absolute Time;Time;Distance;RPM;Speed GPS;T1;T2;Gf. X;Gf. Y;Orientation;Speed rear;Lat.;Lon.;Altitude;UTC time : 144105.00
1;47.01;1;47.01;0;0;0;4408;67.9;0;0;-0.03;-0.09;147.36;0;-15.8260913;-47.9711232;1081;
;;;;0.01;0.01;0.19;4411;67.9;0;0;-0.03;-0.09;147.35;0;-15.8260938;-47.9711216;1081;
;;;;0.02;0.02;0.38;4413;68;0;0;-0.03;-0.09;147.33;0;-15.8260962;-47.97112;1081;
;;;;0.03;0.03;0.57;4416;68;0;0;-0.03;-0.09;147.32;0;-15.8260987;-47.9711184;1081;
;;;;0.04;0.04;0.75;4419;68;0;0;-0.03;-0.09;147.31;0;-15.8261012;-47.9711167;1081;
;;;;0.05;0.05;0.94;4422;68;0;0;-0.03;-0.09;147.29;0;-15.8261037;-47.9711151;1081;
;;;;0.060000000000000005;0.06;1.13;4424;68.1;0;0;-0.02;-0.08;147.28;0;-15.8261061;-47.9711135;1081;
;;;;0.07;0.07;1.32;4427;68.1;0;0;-0.02;-0.08;147.27;0;-15.8261086;-47.9711119;1081;
;;;;0.08;0.08;1.51;4430;68.1;0;0;-0.02;-0.08;147.26;0;-15.8261111;-47.9711102;1081;
;;;;0.09;0.09;1.7;4432;68.2;0;0;-0.02;-0.08;147.24;0;-15.8261135;-47.9711086;1081;
;;;;0.09999999999999999;0.1;1.89;4435;68.2;0;0;-0.02;-0.08;147.23;0;-15.826116;-47.971107;1081;
;;;;0.10999999999999999;0.11;2.08;4434;68.2;0;0;-0.02;-0.08;147.19;0;-15.8261175;-47.971106;1081;
;;;;0.11999999999999998;0.12;2.27;4432;68.3;0;0;-0.02;-0.07;147.16;0;-15.826119;-47.971105;1081;
;;;;0.12999999999999998;0.13;2.46;4430;68.3;0;0;-0.02;-0.07;147.12;0;-15.8261205;-47.971104;1081;
;;;;0.13999999999999999;0.14;2.65;4429;68.3;0;0;-0.02;-0.06;147.09;0;-15.826122;-47.971103;1081;
;;;;0.15;0.15;2.84;4428;68.3;0;0;-0.03;-0.06;147.06;0;-15.8261235;-47.971102;1081;
;;;;0.16;0.16;3.03;4426;68.4;0;0;-0.03;-0.06;147.02;0;-15.826125;-47.971101;1081;
;;;;0.17;0.17;3.22;4424;68.4;0;0;-0.03;-0.05;146.99;0;-15.8261265;-47.9711;1081;
;;;;0.18000000000000002;0.18;3.41;4423;68.4;0;0;-0.03;-0.05;146.95;0;-15.826128;-47.971099;1081;
;;;;0.19000000000000003;0.19;3.6;4422;68.5;0;0;-0.03;-0.04;146.91;0;-15.8261295;-47.971098;1081;
;;;;0.20000000000000004;0.2;3.79;4420;68.5;0;0;-0.03;-0.04;146.88;0;-15.826131;-47.971097;1081;
;;;;0.21000000000000005;0.21;3.98;4420;68.5;0;0;-0.03;-0.03;146.84;0;-15.8261323;-47.9710959;1081;
;;;;0.22000000000000006;0.22;4.17;4421;68.6;0;0;-0.04;-0.02;146.8;0;-15.8261336;-47.9710948;1081;
;;;;0.23000000000000007;0.23;4.36;4421;68.6;0;0;-0.04;-0.01;146.76;0;-15.8261349;-47.9710937;1081;
;;;;0.24000000000000007;0.24;4.55;4421;68.7;0;0;-0.05;0;146.72;0;-15.8261362;-47.9710926;1081;
